Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_excess_vs_equal_weight,train_policy_excess_vs_restricted_random,train_policy_excess_vs_markowitz,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_excess_vs_equal_weight,validation_policy_excess_vs_restricted_random,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,best_epoch_so_far,selected_checkpoint
1,0.8942804755675919,-0.3573336993005166,1.2516141851883473,0.05071132555077438,-13.34571406361071,0.005715513601899147,0.005855818744748831,0.00043273603660054505,1.3988767932460178e-05,5.6948761084640864e-06,-0.0006071815732866526,0.0002924303407780826,0.00555919436737895,0.005205679219216108,-0.0004889847477898002,8.781191354501061e-06,3.993595237261616e-05,-0.0001354697160422802,0.002327429596334696,-2.866177258365619,0.9977667875536925,1.0,False
2,0.6673730990911962,-0.34325236113669594,1.0106254567527098,0.050644806938331455,-13.22950156585909,0.005715513601899147,0.005855818744748831,0.00044801714830100536,2.9269882361404598e-05,2.0975990992155857e-05,-0.0005919004324823618,0.0003077114524785429,0.00555919436737895,0.005205679219216108,-0.00048780610086396337,9.95985192275839e-06,4.111461385036819e-05,-0.00013429105456452817,0.0023286081850528717,-2.844065946266319,0.9976104993329352,2.0,True
3,0.5352322127498923,-0.34300188241072344,0.8782340926332103,0.050673371700853,-13.514347511129749,0.005715513601899147,0.005855818744748831,0.0004191059560980648,3.586809498301591e-07,-7.935210305731744e-06,-0.0006208116537891328,0.00027880026027560234,0.00555919436737895,0.005205679219216108,-0.0004977096687071025,5.6246637569756786e-08,3.121100598946214e-05,-0.0001441946515114978,0.0023187047336250544,-2.9045414712949373,0.9980160221408572,2.0,False
4,0.5770647285683838,-0.3280373114842408,0.9051020402369145,0.05077967587397714,-12.824529954485675,0.005715513601899147,0.005855818744748831,0.00042119421414099634,2.4469497930112993e-06,-5.8469418036111165e-06,-0.0006187233957462013,0.0002808885183185339,0.00555919436737895,0.005205679219216108,-0.0004978549550287426,-8.898721404193566e-08,3.106577423750423e-05,-0.00014433989417739213,0.0023185594473034143,-2.9111289169594543,0.9980561699157047,2.0,False
5,0.48407800216556857,-0.3629337491289887,0.84701175255826,0.0507839916688604,-12.80832091489866,0.005715513601899147,0.005855818744748831,0.00042149098590016365,2.743709274000139e-06,-5.550182322622277e-06,-0.0006184265948832035,0.0002811852900777012,0.00555919436737895,0.005205679219216108,-0.0004978709039278328,-1.0493775448594533e-07,3.104982170043513e-05,-0.00014435584307648242,0.0023185433819890022,-2.911141715794137,0.9980562471919718,2.0,False
6,0.4812775616511018,-0.36365160546117453,0.8449291675335106,0.05077965207424265,-12.810765957242609,0.005715513601899147,0.005855818744748831,0.0004223174473736435,3.570170747480006e-06,-4.72372084914241e-06,-0.0006176001625135541,0.0002820117515511811,0.00555919436737895,0.005205679219216108,-0.000497958215419203,-1.9224596314870723e-07,3.096251384704374e-05,-0.0001444431400159374,0.002318456070497632,-2.9118033458199957,0.9980602381351271,2.0,False
7,0.572881340453987,-0.3570050562439032,0.9298863960660388,0.05079025825215734,-12.827337726687373,0.005715513601899147,0.005855818744748831,0.00041933110333047807,5.83830626510462e-07,-7.710061254329048e-06,-0.0006205865065567195,0.00027902540750801563,0.00555919436737895,0.005205679219216108,-0.0004976668860763311,9.906123921155086e-08,3.12538213620428e-05,-0.00014415183977689594,0.002318747341632843,-2.9076374835199625,0.9980349844113657,2.0,False
8,0.44400747641657773,-0.33684356821299444,0.7808510416809324,0.050800248625105765,-12.81770210805293,0.005715513601899147,0.005855818744748831,0.00042005436262115836,1.3070898603473324e-06,-6.986801508901408e-06,-0.0006198632181622088,0.0002797486667986959,0.00555919436737895,0.005205679219216108,-0.0004979774821549654,-2.1155450724563707e-07,3.09432070935145e-05,-0.00014446245040744543,0.0023184367455542088,-2.9113540038644863,0.9980575285268853,2.0,False
9,0.4429979563391251,-0.3370455287581198,0.7800434882565016,0.05078465295396087,-12.819913719231165,0.005715513601899147,0.005855818744748831,0.0004199717950541526,1.224527977683465e-06,-7.069363618938951e-06,-0.000619945814833045,0.00027966609923169017,0.00555919436737895,0.005205679219216108,-0.0004978012293577194,-3.525908454093951e-08,3.111949990852736e-05,-0.00014428615395445377,0.0023186132311820984,-2.909810351936768,0.9980481936901789,2.0,False
10,0.5095848306329006,-0.4420519066783649,0.9516367339413916,0.0507883162964991,-12.831497205862307,0.005715513601899147,0.005855818744748831,0.00042012176709249616,1.374487283101189e-06,-6.919404313521227e-06,-0.0006197958718985319,0.0002798160712700337,0.00555919436737895,0.005205679219216108,-0.0004972454626113176,5.204912554290786e-07,3.167525210301392e-05,-0.00014373041631188244,0.0023191687650978565,-2.9057406082975734,0.9980233862750071,2.0,False
11,0.48217467937368386,-0.3145538326287017,0.7967285153722594,0.050752309220102564,-12.898327187177571,0.005715513601899147,0.005855818744748831,0.00042161144665442407,2.8641823064390337e-06,-5.429709290183382e-06,-0.0006183061632327735,0.00028130575083196163,0.00555919436737895,0.005205679219216108,-0.0004960441146977246,1.7218186485479237e-06,3.287657818873413e-05,-0.0001425290829502046,0.0023203701712191105,-2.895038188957082,0.9979567690003049,2.0,False
12,0.4641572542409594,-0.3033574497320627,0.767514703973022,0.050781041633851116,-13.007504746265209,0.005715513601899147,0.005855818744748831,0.00041985849384218454,1.1112159654658171e-06,-7.182675744843436e-06,-0.0006200591451488435,0.0002795527980197221,0.00555919436737895,0.005205679219216108,-0.0004987196298316121,-9.5367431640625e-07,3.0201086701708846e-05,-0.00014520456898026168,0.002317694714292884,-2.914930388035514,0.9980789993408434,2.0,False
13,0.473043523070669,-0.3610102574837924,0.8340537794487215,0.050786279102412214,-12.827518378887918,0.005715513601899147,0.005855818744748831,0.000419121963204816,3.746878576293966e-07,-7.919204108475242e-06,-0.0006207956466823816,0.00027881626738235354,0.00555919436737895,0.005205679219216108,-0.0004988682339899242,-1.1022661965398584e-06,3.0052493457333185e-05,-0.00014535317313857377,0.0023175461683422327,-2.9136716014456048,0.9980714670631363,2.0,False
14,0.4640405879425076,-0.35439299441900357,0.8184335865738535,0.050785740238512365,-12.826794961316004,0.005715513601899147,0.005855818744748831,0.0004189126193523407,1.6533444124888774e-07,-8.128557055897545e-06,-0.0006210050196386874,0.0002786068944260478,0.00555919436737895,0.005205679219216108,-0.0004979128716513515,-1.4691285343815252e-07,3.100784670095891e-05,-0.00014439781080000103,0.0023185014724731445,-2.9114006513441377,0.9980578099798013,2.0,False
15,0.42545765785783424,-0.33152739782636664,0.7569850548417324,0.0507906851993854,-12.818563612948036,0.005715513601899147,0.005855818744748831,0.00041892187437042594,1.7460159540405584e-07,-8.11929021438118e-06,-0.0006209957064129412,0.0002786161785479635,0.00555919436737895,0.005205679219216108,-0.0004978910437785089,-1.2508580482517573e-07,3.102967457380146e-05,-0.00014437598292715847,0.002318523358553648,-2.911179633891323,0.9980564761158017,2.0,False
16,0.4403935076912385,-0.35338037363631986,0.7937738836443466,0.05079111534536095,-12.815272503101362,0.005715513601899147,0.005855818744748831,0.00041879317723214626,4.5914532620372484e-08,-8.247977348219138e-06,-0.0006211244035512209,0.0002784874814096838,0.00555919436737895,0.005205679219216108,-0.000497839821036905,-7.387617984022654e-08,3.108088276349008e-05,-0.00014432477473746985,0.002318574581295252,-2.9111974133119904,0.998056583447442,2.0,False
17,0.40503767101166527,-0.3746483435479154,0.7796860170869861,0.050787662659432777,-12.804816795322163,0.005715513601899147,0.005855818744748831,0.00041889597196131945,1.486956904273029e-07,-8.14519626146648e-06,-0.0006210216088220477,0.000278590276138857,0.00555919436737895,0.005205679219216108,-0.0004979220684617758,-1.5614737947089452e-07,3.099861351074651e-05,-0.00014440705126617104,0.0023184921592473984,-2.91131362917499,0.9980572848914986,2.0,False
18,0.5273929528971022,-0.40117018235445867,0.928563139042669,0.050793846351729684,-12.811117337365033,0.005715513601899147,0.005855818744748831,0.0004188294115010649,8.21406800355362e-08,-8.21175126475282e-06,-0.0006210881983861327,0.00027852371567860246,0.00555919436737895,0.005205679219216108,-0.0004979153745807707,-1.4943135795419948e-07,3.10053292196244e-05,-0.00014440032828133553,0.0023184989113360643,-2.9114009934219185,0.9980578120436293,2.0,False
19,0.63571834416777,-0.3862791417344299,1.0219974795836864,0.05079823612587612,-12.825157778844396,0.005715513601899147,0.005855818744748831,0.00041901390068233013,2.666412797225348e-07,-8.027250260056462e-06,-0.000620903680101037,0.0002787082048598677,0.00555919436737895,0.005205679219216108,-0.0004984098486602306,-6.438980904022173e-07,3.051086241612211e-05,-0.00014489480236079544,0.0023180043790489435,-2.912642662148123,0.9980652901119037,2.0,False
20,0.6460759795596659,-0.3649587796560025,1.0110347586891255,0.050786338035714924,-12.810368665958041,0.005715513601899147,0.005855818744748831,0.00041875315946526825,5.8972795535794376e-09,-8.287994205602445e-06,-0.0006211644504219294,0.0002784474636428058,0.00555919436737895,0.005205679219216108,-0.0004977608914487064,5.037012140718389e-09,3.1159797799773514e-05,-0.00014424585970118642,0.0023186535108834505,-2.910913868630862,0.9980548710862782,2.0,False
21,0.6188808939692831,-0.39415903257818186,1.013039926547465,0.05079098979123069,-12.801906777776173,0.005715513601899147,0.005855818744748831,0.00041875484748743474,7.582216632329164e-09,-8.28630891192006e-06,-0.0006211627623997629,0.0002784491516649723,0.00555919436737895,0.005205679219216108,-0.0004977777134627104,-1.1753028772432117e-08,3.1143008527578786e-05,-0.00014426265261135995,0.0023186367470771074,-2.911004344089573,0.9980554176283035,2.0,False
22,0.627627370635528,-0.3046188548259937,0.9322462271464587,0.05079049947457684,-12.802007877363334,0.005715513601899147,0.005855818744748831,0.00041875147144310176,4.212342474829711e-09,-8.28967949928483e-06,-0.0006211661384440958,0.0002784457756206393,0.00555919436737895,0.005205679219216108,-0.0004977659555152059,0.0,3.115475919912569e-05,-0.00014425089466385543,0.00231864838860929,-2.9109474179297004,0.9980550737664557,2.0,False
23,0.6898055508364216,-0.4562613680800785,1.1460669120714437,0.05079120525254378,-12.801852115051485,0.005715513601899147,0.005855818744748831,0.000418747280491516,0.0,-8.29389136924874e-06,-0.0006211703293956816,0.00027844158466905355,0.00555919436737895,0.005205679219216108,-0.0004977642674930394,1.6790040469061296e-09,3.115643994533457e-05,-0.00014424922119360417,0.0023186500184237957,-2.9109533956658757,0.9980551098775149,2.0,False
24,0.6401668590075557,-0.3625890507293674,1.0027559095263059,0.05079093392503978,-12.80188917355487,0.005715513601899147,0.005855818744748831,0.00041874306043609977,-4.212342474829711e-09,-8.298104148707353e-06,-0.0006211745203472674,0.00027843736461363733,0.00555919436737895,0.005205679219216108,-0.0004977877833880484,-2.1827052165690475e-08,3.113293132628314e-05,-0.00014427272253669798,0.0023186265025287867,-2.911105956405385,0.9980560312784036,2.0,False
25,0.6013694927886181,-0.36938308116193375,0.9707525762146859,0.050790654515103825,-12.801923603556602,0.005715513601899147,0.005855818744748831,0.0004187426238786429,-4.63357663349484e-09,-8.298525244754273e-06,-0.0006211749860085547,0.0002784369280561805,0.00555919436737895,0.005205679219216108,-0.000497792789246887,-2.6864064750498073e-08,3.112789636361413e-05,-0.00014427777205128223,0.00231862161308527,-2.911130649146107,0.9980561803743927,2.0,False
26,0.6312463650012606,-0.3729709829121512,1.004217360550439,0.05078922151571449,-12.802035291287588,0.005715513601899147,0.005855818744748831,0.00041873884038068354,-8.424684949659422e-09,-8.302316018671263e-06,-0.0006211787695065141,0.0002784331445582211,0.00555919436737895,0.005205679219216108,-0.0004977105418220162,5.5407134880169906e-08,3.12101656163577e-05,-0.00014419549552258104,0.0023187038023024797,-2.910646866964487,0.9980532573709973,2.0,False
27,0.6208420065182257,-0.41423484819937934,1.0350768496627942,0.05078994980338605,-12.802405576402643,0.005715513601899147,0.005855818744748831,0.00041874853195622563,1.2637026980399924e-09,-8.292628081107978e-06,-0.0006211690488271415,0.0002784428361337632,0.00555919436737895,0.005205679219216108,-0.0004977592034265399,6.716016187624518e-09,3.1161474908003584e-05,-0.00014424418623093516,0.002318655140697956,-2.9109485670211193,0.998055080708079,2.0,False
28,0.6157099086488514,-0.3732147528510212,0.9889246640272781,0.050793732697466655,-12.802483831614571,0.005715513601899147,0.005855818744748831,0.00041874832822941244,1.0530856187074278e-09,-8.292838174384087e-06,-0.0006211692816577852,0.00027844263240695,0.00555919436737895,0.005205679219216108,-0.0004977692733518779,-3.358008093812259e-09,3.1151401344686747e-05,-0.00014425425615627319,0.002318645128980279,-2.9109199425487158,0.9980549077818504,2.0,False
29,0.6047874936050746,-0.35914385292428963,0.963931351584175,0.050788634381003596,-12.802338869748604,0.005715513601899147,0.005855818744748831,0.00041874684393405914,-4.21234241931856e-10,-8.294312465295661e-06,-0.000621170736849308,0.0002784411481115967,0.00555919436737895,0.005205679219216108,-0.0004977004718966782,6.54811600497851e-08,3.122024281765334e-05,-0.000144185425597243,0.002318713814020157,-2.9105918737766734,0.9980529248491948,2.0,False
30,0.6050846008024452,-0.3856113374022629,0.9906959331498971,0.05079016581756909,-12.802081323765192,0.005715513601899147,0.005855818744748831,0.0004187500162515789,2.7380224754125493e-09,-8.291153790196404e-06,-0.0006211675936356187,0.0002784443204291165,0.00555919436737895,0.005205679219216108,-0.0004977348726242781,3.106157464571879e-08,3.118582026218064e-05,-0.0001442198408767581,0.002318679355084896,-2.9107727572766944,0.9980540183841231,2.0,False
31,0.6115302127052111,-0.4100889563033943,1.0216191664812,0.05078964106501623,-12.801938653413483,0.005715513601899147,0.005855818744748831,0.0004187504237052053,3.1592568561222834e-09,-8.290732694149483e-06,-0.0006211671861819923,0.0002784447278827429,0.00555919436737895,0.005205679219216108,-0.0004977751523256302,-9.234522480028318e-09,3.1145526008913293e-05,-0.00014426013513002545,0.002318639075383544,-2.9110242374841118,0.9980555377810456,2.0,False
32,0.5712137409739275,-0.38730451833232976,0.9585182584637888,0.05078935208516491,-12.802013454504653,0.005715513601899147,0.005855818744748831,0.00041884416714310646,9.688387336836968e-08,-8.19700744614238e-06,-0.0006210734718479216,0.00027853844221681356,0.00555919436737895,0.005205679219216108,-0.0004921983927488327,5.567577318288386e-06,3.672233651741408e-05,-0.00013868331734556705,0.002324216067790985,-2.882015463291269,0.9978729489575552,2.0,False
33,0.5203319013961213,-0.34619103827556535,0.866522943699739,0.05079216055914286,-12.803185786459556,0.005715513601899147,0.005855818744748831,0.00041874812450259924,8.42468483863712e-10,-8.293049177154899e-06,-0.0006211695144884288,0.00027844239957630634,0.00555919436737895,0.005205679219216108,-0.0004977692733518779,-3.358008093812259e-09,3.1151401344686747e-05,-0.00014425425615627319,0.002318645128980279,-2.910978141512603,0.9980552593588194,2.0,False
34,0.48978959671600125,-0.4411723904390638,0.9309619871550651,0.050793819366411266,-12.802397060731275,0.005715513601899147,0.005855818744748831,0.00041874684393405914,-4.21234241931856e-10,-8.294312465295661e-06,-0.000621170736849308,0.0002784411481115967,0.00555919436737895,0.005205679219216108,-0.0004977659555152059,0.0,3.115475919912569e-05,-0.00014425089466385543,0.00231864838860929,-2.910955715207423,0.9980551238895278,2.0,False
35,0.43568298515498427,-0.35589494100729063,0.7915779320595543,0.05078910504444749,-12.802332699509476,0.005715513601899147,0.005855818744748831,0.000418747280491516,0.0,-8.29389136924874e-06,-0.0006211703293956816,0.00027844158466905355,0.00555919436737895,0.005205679219216108,-0.0004977625794708729,3.358008093812259e-09,3.115811705356464e-05,-0.0001442475477233529,0.0023186516482383013,-2.910932377720052,0.9980549829069608,2.0,False
36,0.48109105260970314,-0.39945568275957144,0.8805467353692745,0.05079313195162443,-12.802553759868069,0.005715513601899147,0.005855818744748831,0.0004187426238786429,-4.63357663349484e-09,-8.298525244754273e-06,-0.0006211749860085547,0.0002784369280561805,0.00555919436737895,0.005205679219216108,-0.0004977726493962109,-6.716016187624518e-09,3.11480434902478e-05,-0.00014425761764869094,0.002318641636520624,-2.910994158520558,0.9980553561065633,2.0,False
37,0.4864409565925598,-0.3713083909594128,0.8577493492369096,0.05078581939105853,-12.805863896022837,0.005715513601899147,0.005855818744748831,0.00041874306043609977,-4.212342474829711e-09,-8.298104148707353e-06,-0.0006211745203472674,0.00027843736461363733,0.00555919436737895,0.005205679219216108,-0.0004977701464667916,-4.197510339309929e-09,3.115056097158231e-05,-0.00014425510016735643,0.0023186441976577044,-2.910980025477294,0.9980552707387842,2.0,False
38,0.5169153268261427,-0.3645531555157247,0.8814684851851986,0.050789255069654315,-12.802203613119495,0.005715513601899147,0.005855818744748831,0.0004187478916719556,6.318513490199962e-10,-8.293259270431008e-06,-0.0006211696891114116,0.00027844219584949315,0.00555919436737895,0.005205679219216108,-0.0004977819044142962,-1.5950538667652836e-08,3.11388103000354e-05,-0.00014426685811486095,0.002318632323294878,-2.9110567280041355,0.9980557340037194,2.0,False
39,0.4518021496782876,-0.40682766452273716,0.8586298130426305,0.050784721575651066,-12.810968607980033,0.005715513601899147,0.005855818744748831,0.00041838374454528093,-3.6352514598547714e-07,-8.65741640154738e-06,-0.0006215338362380862,0.0002780780487228185,0.00555919436737895,0.005205679219216108,-0.0004977625794708729,3.358008093812259e-09,3.115811705356464e-05,-0.0001442475477233529,0.0023186516482383013,-2.910928070679298,0.9980549568869589,2.0,False
