Index,duration_key,model_name,directory,all_score_benchmark_component,all_score_equal_weight_component,all_score_restricted_random_component,all_score_raw_return_component,all_score_significance_component,all_score_significance_bonus,all_score_weight_error_penalty,all_score_composite_score,validation_score_benchmark_component,validation_score_equal_weight_component,validation_score_restricted_random_component,validation_score_raw_return_component,validation_score_significance_component,validation_score_significance_bonus,validation_score_weight_error_penalty,validation_score_composite_score,all_benchmark_samples,all_benchmark_benchmark_mean_raw_return,all_benchmark_policy_mean_raw_return,all_benchmark_policy_mean_excess_return,all_benchmark_t_statistic,all_benchmark_p_value,all_benchmark_significant_outperformance,validation_benchmark_samples,validation_benchmark_benchmark_mean_raw_return,validation_benchmark_policy_mean_raw_return,validation_benchmark_policy_mean_excess_return,validation_benchmark_t_statistic,validation_benchmark_p_value,validation_benchmark_significant_outperformance,all_evaluation_samples,all_evaluation_demo_mean_excess_return,all_evaluation_policy_mean_excess_return,all_evaluation_demo_mean_raw_return,all_evaluation_policy_mean_raw_return,all_evaluation_mean_abs_weight_error,validation_evaluation_samples,validation_evaluation_demo_mean_excess_return,validation_evaluation_policy_mean_excess_return,validation_evaluation_demo_mean_raw_return,validation_evaluation_policy_mean_raw_return,validation_evaluation_mean_abs_weight_error
30,6mo,promoted,outputs/replay_checkpoint_suites/6mo,9.618810514240902,0.0,0.0,5.876224268484124,7.533391182926331,3.333333333333333,2.7338647842407218,23.627894514743968,16.585083509198853,0.0,0.0,-2.01964539180284,2.4929721559092757,0.0,10.353082716464995,6.7053275568402935,256.0,0.0034168090205639,0.0067402673885226,0.003323458135128,4.970508026479292,6.131911091658895e-07,1.0,52.0,-0.0082723638042807,-0.0020477978978306,0.0062245656736195,1.5097882290049804,0.06863431570275,0.0,256.0,0.0075006447732448,0.003323458135128,0.0109257698059082,0.0067402673885226,0.0455644130706787,52.0,0.0088787907734513,0.0062245656736195,0.0006116571603342,-0.0020477978978306,0.1725513786077499
31,6mo,balanced_192x6x4,outputs/replay_checkpoint_suites/6mo/candidate_models/balanced_192x6x4,9.618810514240902,0.0,0.0,5.876224268484124,7.533391182926331,3.333333333333333,2.7338647842407218,23.627894514743968,16.585083509198853,0.0,0.0,-2.01964539180284,2.4929721559092757,0.0,10.353082716464995,6.7053275568402935,256.0,0.0034168090205639,0.0067402673885226,0.003323458135128,4.970508026479292,6.131911091658895e-07,1.0,52.0,-0.0082723638042807,-0.0020477978978306,0.0062245656736195,1.5097882290049804,0.06863431570275,0.0,256.0,0.0075006447732448,0.003323458135128,0.0109257698059082,0.0067402673885226,0.0455644130706787,52.0,0.0088787907734513,0.0062245656736195,0.0006116571603342,-0.0020477978978306,0.1725513786077499
6,1y,promoted,outputs/replay_checkpoint_suites/1y,8.641623930610361,0.0,0.0,6.539376500430533,6.490841072136861,3.333333333333333,3.083626180887222,21.921548655623866,-5.715879237106972,0.0,0.0,2.725394961255981,-0.7537398129945443,0.0,10.572398900985714,-14.316622989831249,256.0,0.0048570455983281,0.0078214760869741,0.0029644302558153,4.169176845363521,2.0959355336384815e-05,1.0,52.0,0.0047249142080545,0.0027960503939539,-0.0019288635812699,-0.4526251032420754,0.6736308334404335,0.0,256.0,0.0074179107323288,0.0029644302558153,0.0122841084375977,0.0078214760869741,0.0513937696814537,52.0,0.0062606055289506,-0.0019288635812699,0.0109949624165892,0.0027960503939539,0.1762066483497619
9,1y,deeper_224x8x5,outputs/replay_checkpoint_suites/1y/candidate_models/deeper_224x8x5,8.641623930610361,0.0,0.0,6.539376500430533,6.490841072136861,3.333333333333333,3.083626180887222,21.921548655623866,-5.715879237106972,0.0,0.0,2.725394961255981,-0.7537398129945443,0.0,10.572398900985714,-14.316622989831249,256.0,0.0048570455983281,0.0078214760869741,0.0029644302558153,4.169176845363521,2.0959355336384815e-05,1.0,52.0,0.0047249142080545,0.0027960503939539,-0.0019288635812699,-0.4526251032420754,0.6736308334404335,0.0,256.0,0.0074179107323288,0.0029644302558153,0.0122841084375977,0.0078214760869741,0.0513937696814537,52.0,0.0062606055289506,-0.0019288635812699,0.0109949624165892,0.0027960503939539,0.1762066483497619
24,5y,promoted,outputs/replay_checkpoint_suites/5y,15.203502809879483,0.0,0.0,7.914399256271585,4.396130806422287,3.333333333333333,9.004753232002253,21.84261297390443,-1.634191207699653,0.0,0.0,6.209334438061788,-0.19822385305440002,0.0,10.212824642658234,-5.835905265350498,256.0,0.0051688188686966,0.0107527393847703,0.0055839205160737,2.717345926947845,0.0035158447225006,1.0,52.0,0.0078104985877871,0.0072652283124625,-0.0005452701589092,-0.1189412358911228,0.5471054081416737,0.0,256.0,0.0064542545005679,0.0055839205160737,0.0116354245692491,0.0107527393847703,0.1500792205333709,52.0,0.0074925767257809,-0.0005452701589092,0.0153131633996963,0.0072652283124625,0.1702137440443039
27,5y,deeper_224x8x5,outputs/replay_checkpoint_suites/5y/candidate_models/deeper_224x8x5,15.203502809879483,0.0,0.0,7.914399256271585,4.396130806422287,3.333333333333333,9.004753232002253,21.84261297390443,-1.634191207699653,0.0,0.0,6.209334438061788,-0.19822385305440002,0.0,10.212824642658234,-5.835905265350498,256.0,0.0051688188686966,0.0107527393847703,0.0055839205160737,2.717345926947845,0.0035158447225006,1.0,52.0,0.0078104985877871,0.0072652283124625,-0.0005452701589092,-0.1189412358911228,0.5471054081416737,0.0,256.0,0.0064542545005679,0.0055839205160737,0.0116354245692491,0.0107527393847703,0.1500792205333709,52.0,0.0074925767257809,-0.0005452701589092,0.0153131633996963,0.0072652283124625,0.1702137440443039
26,5y,base_user_shape,outputs/replay_checkpoint_suites/5y/candidate_models/base_user_shape,13.396046365864347,0.0,0.0,7.6043498539186665,4.626874986391726,3.333333333333333,7.56942093372345,21.391183605784622,7.3986127086267075,0.0,0.0,7.750532682883473,1.0044932510271005,0.0,10.201178491115568,5.952460151421713,256.0,0.0051688188686966,0.0099724568426609,0.0048036375083029,2.869566622235477,0.0022274465256207,1.0,52.0,0.0078104985877871,0.0103286104276776,0.0025181116070598,0.6035993073231668,0.2743927280232858,0.0,256.0,0.0064542545005679,0.0048036375083029,0.0116354245692491,0.0099724568426609,0.1261570155620575,52.0,0.0074925767257809,0.0025181116070598,0.0153131633996963,0.0103286104276776,0.1700196415185928
25,5y,balanced_192x6x4,outputs/replay_checkpoint_suites/5y/candidate_models/balanced_192x6x4,11.235150472380287,0.0,0.0,7.213887988164808,5.31582071414229,3.333333333333333,6.011338233947754,21.086854274072966,9.086989972885076,0.0,0.0,7.982460253084963,1.2555079143307126,0.0,10.262959599494934,8.06199854080582,256.0,0.0051688188686966,0.00910534709692,0.0039365282282233,3.3340786898376975,0.0004914848188218,1.0,52.0,0.0078104985877871,0.0109375901520252,0.0031270910985767,0.7550713424105716,0.2268395806053763,0.0,256.0,0.0064542545005679,0.0039365282282233,0.0116354245692491,0.00910534709692,0.1001889705657959,52.0,0.0074925767257809,0.0031270910985767,0.0153131633996963,0.0109375901520252,0.1710493266582489
28,5y,regularized_256x8x5,outputs/replay_checkpoint_suites/5y/candidate_models/regularized_256x8x5,13.795190276950205,0.0,0.0,7.674072147429155,3.5107734406248303,3.333333333333333,10.363875031471247,17.949494166866273,-17.369935519280208,0.0,0.0,1.1952195291189551,-2.2010973401874647,0.0,10.380298197269436,-28.756111527618156,256.0,0.0051688188686966,0.0101398983970284,0.0049710795283317,2.1462441091782956,0.0163987009467738,1.0,52.0,0.0078104985877871,0.0012009602505713,-0.0066095385700464,-1.3302618438781395,0.9053248925505892,0.0,256.0,0.0064542545005679,0.0049710795283317,0.0116354245692491,0.0101398983970284,0.1727312505245208,52.0,0.0074925767257809,-0.0066095385700464,0.0153131633996963,0.0012009602505713,0.1730049699544906
19,3y,balanced_192x6x4,outputs/replay_checkpoint_suites/3y/candidate_models/balanced_192x6x4,4.596762320742286,0.0,0.0,4.376084897977547,7.747021430699309,3.333333333333333,3.237837105989454,16.81536487676302,-15.363924829545375,0.0,0.0,-2.6252056028465414,-1.1057669589006316,0.0,10.47575443983078,-29.570651831123328,256.0,0.0031482726335525,0.0046926899813115,0.001544417347759,5.143598950775604,2.688873608527603e-07,1.0,52.0,0.0029680030420422,-0.002688136184588,-0.0056561389937996,-0.664665926137576,0.7453707150030335,0.0,256.0,0.0090843122452497,0.001544417347759,0.0122450031340122,0.0046926899813115,0.0539639517664909,52.0,0.0109194619581103,-0.0056561389937996,0.0139007223770022,-0.002688136184588,0.174595907330513
0,1mo,promoted,outputs/replay_checkpoint_suites/1mo,4.79170923028231,0.0,0.0,4.1981746654633465,7.114019636793507,3.333333333333333,2.887746691703796,16.5494901741687,4.200869075284975,0.0,0.0,2.7063578397164045,2.8034606603587804,3.333333333333333,2.80630476772785,10.237716140965643,256.0,0.0028636734932661,0.0044747041538357,0.0016110308934003,4.640063556287345,2.786999949233306e-06,1.0,52.0,0.0013659459073096,0.0027754972688853,0.0014095512451604,1.7020827301842367,0.047414449635843,1.0,256.0,0.0065550510771572,0.0016110308934003,0.0094286780804395,0.0044747041538357,0.0481291115283966,52.0,0.0073214145377278,0.0014095512451604,0.0087026851251721,0.0027754972688853,0.0467717461287975
1,1mo,balanced_192x6x4,outputs/replay_checkpoint_suites/1mo/candidate_models/balanced_192x6x4,4.79170923028231,0.0,0.0,4.1981746654633465,7.114019636793507,3.333333333333333,2.887746691703796,16.5494901741687,4.200869075284975,0.0,0.0,2.7063578397164045,2.8034606603587804,3.333333333333333,2.80630476772785,10.237716140965643,256.0,0.0028636734932661,0.0044747041538357,0.0016110308934003,4.640063556287345,2.786999949233306e-06,1.0,52.0,0.0013659459073096,0.0027754972688853,0.0014095512451604,1.7020827301842367,0.047414449635843,1.0,256.0,0.0065550510771572,0.0016110308934003,0.0094286780804395,0.0044747041538357,0.0481291115283966,52.0,0.0073214145377278,0.0014095512451604,0.0087026851251721,0.0027754972688853,0.0467717461287975
32,6mo,base_user_shape,outputs/replay_checkpoint_suites/6mo/candidate_models/base_user_shape,5.599306943544297,0.0,0.0,4.857924183243582,5.62640941527428,3.333333333333333,2.8792840987443897,16.5376897766511,12.030078577432064,0.0,0.0,-3.819948457966062,2.0102915030299364,0.0,9.605870246887205,0.614551375608734,256.0,0.0034168090205639,0.0053053824231028,0.0018885731697082,3.549042190109867,0.0002300860936135,1.0,52.0,-0.0082723638042807,-0.0040239323861896,0.0042484309524297,1.2134751910135408,0.1152691858909208,0.0,256.0,0.0075006447732448,0.0018885731697082,0.0109257698059082,0.0053053824231028,0.0479880683124065,52.0,0.0088787907734513,0.0042484309524297,0.0006116571603342,-0.0040239323861896,0.1600978374481201
35,6mo,wider_256x8x4,outputs/replay_checkpoint_suites/6mo/candidate_models/wider_256x8x4,7.5471776513222615,0.0,0.0,5.361750807551639,3.8243203290143684,3.333333333333333,3.933662474155422,16.132919647066178,-8.543512283105485,0.0,0.0,-8.076095214630982,-1.2501952029744874,0.0,9.347985684871674,-27.21778838558263,256.0,0.0034168090205639,0.0059877187013626,0.002570909447968,2.3463436905618713,0.0098623806394734,1.0,52.0,-0.0082723638042807,-0.0112011674791574,-0.0029288036748766,-0.7518613219312033,0.7722047904626538,0.0,256.0,0.0075006447732448,0.002570909447968,0.0109257698059082,0.0059877187013626,0.0655610412359237,52.0,0.0088787907734513,-0.0029288036748766,0.0006116571603342,-0.0112011674791574,0.1557997614145279
18,3y,promoted,outputs/replay_checkpoint_suites/3y,4.871811544914526,0.0,0.0,4.45179058660682,6.358706577186281,3.333333333333333,3.103538230061526,15.912103811979433,-16.193118161442495,0.0,0.0,-2.977341913041482,-1.2284058302443543,0.0,10.55255055427551,-30.95141645900384,256.0,0.0031482726335525,0.0047867153771221,0.0016384427435696,4.072082334433696,3.1112396787899754e-05,1.0,52.0,0.0029680030420422,-0.0030703155789524,-0.006038318388164,-0.7386978410717904,0.7682616885007856,0.0,256.0,0.0090843122452497,0.0016384427435696,0.0122450031340122,0.0047867153771221,0.0517256371676921,52.0,0.0109194619581103,-0.006038318388164,0.0139007223770022,-0.0030703155789524,0.1758758425712585
23,3y,wider_256x8x4,outputs/replay_checkpoint_suites/3y/candidate_models/wider_256x8x4,4.871811544914526,0.0,0.0,4.45179058660682,6.358706577186281,3.333333333333333,3.103538230061526,15.912103811979433,-16.193118161442495,0.0,0.0,-2.977341913041482,-1.2284058302443543,0.0,10.55255055427551,-30.95141645900384,256.0,0.0031482726335525,0.0047867153771221,0.0016384427435696,4.072082334433696,3.1112396787899754e-05,1.0,52.0,0.0029680030420422,-0.0030703155789524,-0.006038318388164,-0.7386978410717904,0.7682616885007856,0.0,256.0,0.0090843122452497,0.0016384427435696,0.0122450031340122,0.0047867153771221,0.0517256371676921,52.0,0.0109194619581103,-0.006038318388164,0.0139007223770022,-0.0030703155789524,0.1758758425712585
33,6mo,deeper_224x8x5,outputs/replay_checkpoint_suites/6mo/candidate_models/deeper_224x8x5,4.387890524458812,0.0,0.0,4.534227903302653,6.076374433008908,3.333333333333333,2.937563583254814,15.394262610848891,-6.287612175346895,0.0,0.0,-7.77878505492102,-0.8769414630061156,0.0,9.354394376277924,-24.297733069551953,256.0,0.0034168090205639,0.0048900051042437,0.0014731960836797,3.867526801469333,6.981373830705142e-05,1.0,52.0,-0.0082723638042807,-0.0103997578844428,-0.002127394080162,-0.5267655688779387,0.6996799114829491,0.0,256.0,0.0075006447732448,0.0014731960836797,0.0109257698059082,0.0048900051042437,0.0489593930542469,52.0,0.0088787907734513,-0.002127394080162,0.0006116571603342,-0.0103997578844428,0.1559065729379654
12,3mo,promoted,outputs/replay_checkpoint_suites/3mo,13.18296917021238,0.0,0.0,5.736297152592568,3.280056005959022,3.333333333333333,10.262108445167538,15.270547216929764,17.554819675552977,0.0,0.0,4.081617227435973,2.2230045783647245,0.0,10.484274029731745,13.375167451621932,256.0,0.0018138897139579,0.0065291598439216,0.0047152703627943,2.000333809496807,0.023262288238454,1.0,52.0,-0.0023687137290835,0.0043340348638594,0.0067027485929429,1.3436983998071783,0.0924969730593897,0.0,256.0,0.0052493517287075,0.0047152703627943,0.007073818705976,0.0065291598439216,0.1710351407527923,52.0,0.004568594507873,0.0067027485929429,0.0022121747024357,0.0043340348638594,0.1747379004955291
13,3mo,balanced_192x6x4,outputs/replay_checkpoint_suites/3mo/candidate_models/balanced_192x6x4,13.18296917021238,0.0,0.0,5.736297152592568,3.280056005959022,3.333333333333333,10.262108445167538,15.270547216929764,17.554819675552977,0.0,0.0,4.081617227435973,2.2230045783647245,0.0,10.484274029731745,13.375167451621932,256.0,0.0018138897139579,0.0065291598439216,0.0047152703627943,2.000333809496807,0.023262288238454,1.0,52.0,-0.0023687137290835,0.0043340348638594,0.0067027485929429,1.3436983998071783,0.0924969730593897,0.0,256.0,0.0052493517287075,0.0047152703627943,0.007073818705976,0.0065291598439216,0.1710351407527923,52.0,0.004568594507873,0.0067027485929429,0.0022121747024357,0.0043340348638594,0.1747379004955291
14,3mo,base_user_shape,outputs/replay_checkpoint_suites/3mo/candidate_models/base_user_shape,11.831692597618707,0.0,0.0,5.358934630477634,3.398336822716495,3.333333333333333,9.499373137950894,14.422924246195272,17.972019483663782,0.0,0.0,4.258527844577714,2.2826939613923884,0.0,10.494306385517119,14.018934904116767,256.0,0.0018138897139579,0.0059837670996785,0.0041698776185512,2.075003123728323,0.0194945778353107,1.0,52.0,-0.0023687137290835,0.0045481976121664,0.0069169113412499,1.3803385756699529,0.0867514884489785,0.0,256.0,0.0052493517287075,0.0041698776185512,0.007073818705976,0.0059837670996785,0.1583228856325149,52.0,0.004568594507873,0.0069169113412499,0.0022121747024357,0.0045481976121664,0.1749051064252853
21,3y,deeper_224x8x5,outputs/replay_checkpoint_suites/3y/candidate_models/deeper_224x8x5,3.812723191792729,0.0,0.0,4.158047054057424,6.29478072527335,3.333333333333333,3.21780681610107,14.381077488355764,-12.118604729370858,0.0,0.0,-1.3081020869746367,-1.1838822164489406,0.0,10.505304336547848,-25.115893369342285,256.0,0.0031482726335525,0.0044260900467634,0.0012778174132108,4.025426597546315,3.7518121265441186e-05,1.0,52.0,0.0029680030420422,-0.0013156407512724,-0.0042836437933146,-0.711809802439782,0.7600869581344271,0.0,256.0,0.0090843122452497,0.0012778174132108,0.0122450031340122,0.0044260900467634,0.0536301136016845,52.0,0.0109194619581103,-0.0042836437933146,0.0139007223770022,-0.0013156407512724,0.1750884056091308
34,6mo,regularized_256x8x5,outputs/replay_checkpoint_suites/6mo/candidate_models/regularized_256x8x5,3.142400148837984,0.0,0.0,4.192759182473788,5.984843194779663,3.333333333333333,2.9030920565128318,13.750243802911935,-24.685369071464425,0.0,0.0,-9.635155272638908,-3.424095238353227,0.0,10.560825169086456,-48.305444751543014,256.0,0.0034168090205639,0.0044681318104267,0.0010513230226933,3.802019283848148,8.981187426305526e-05,1.0,52.0,-0.0082723638042807,-0.0199280250817537,-0.0116556631401181,-2.0913010636020513,0.9792494473322476,0.0,256.0,0.0075006447732448,0.0010513230226933,0.0109257698059082,0.0044681318104267,0.0483848676085472,52.0,0.0088787907734513,-0.0116556631401181,0.0006116571603342,-0.0199280250817537,0.1760137528181076
20,3y,base_user_shape,outputs/replay_checkpoint_suites/3y/candidate_models/base_user_shape,4.328675047043108,0.0,0.0,4.3019051920993245,4.1409119743197875,3.333333333333333,3.191190809011458,12.913634737784095,-9.603148596864518,0.0,0.0,-0.3494950086767703,-0.8749726253764091,0.0,10.542123019695282,-21.36973925061298,256.0,0.0031482726335525,0.0046013044193387,0.0014530320186167,2.550715636531779,0.0056676559926345,1.0,52.0,0.0029680030420422,-0.0003496374120004,-0.003317640395835,-0.5255802240050474,0.699271127322098,0.0,256.0,0.0090843122452497,0.0014530320186167,0.0122450031340122,0.0046013044193387,0.0531865134835243,52.0,0.0109194619581103,-0.003317640395835,0.0139007223770022,-0.0003496374120004,0.1757020503282547
5,1mo,wider_256x8x4,outputs/replay_checkpoint_suites/1mo/candidate_models/wider_256x8x4,2.217237048856193,0.0,0.0,3.4557535527160024,6.052052616582166,3.333333333333333,3.015037849545474,12.04333870194222,9.544707433928481,0.0,0.0,4.351155454721896,1.6664227123925233,0.0,6.74838468432426,8.81390091671864,256.0,0.0028636734932661,0.003604102646932,0.0007404291536659,3.8500825657599074,7.46818659665462e-05,1.0,52.0,0.0013659459073096,0.0046618971973657,0.0032959510572254,1.003997778963547,0.1600598254033172,0.0,256.0,0.0065550510771572,0.0007404291536659,0.0094286780804395,0.003604102646932,0.0502506308257579,52.0,0.0073214145377278,0.0032959510572254,0.0087026851251721,0.0046618971973657,0.112473078072071
3,1mo,deeper_224x8x5,outputs/replay_checkpoint_suites/1mo/candidate_models/deeper_224x8x5,2.2817745804406604,0.0,0.0,3.4747898473461287,5.5407374391855555,3.333333333333333,2.8484827280044502,11.782152472301226,-14.278712016758728,0.0,0.0,-3.6370539992345705,-1.9270215554027856,0.0,10.547492802143093,-30.390280373539177,256.0,0.0028636734932661,0.003625736804679,0.0007620633114129,3.489370559200398,0.0002851121145312,1.0,52.0,0.0013659459073096,-0.0038114958442747,-0.0051774415187537,-1.1626374055946065,0.8748058932865661,0.0,256.0,0.0065550510771572,0.0007620633114129,0.0094286780804395,0.003625736804679,0.0474747121334075,52.0,0.0073214145377278,-0.0051774415187537,0.0087026851251721,-0.0038114958442747,0.1757915467023849
10,1y,regularized_256x8x5,outputs/replay_checkpoint_suites/1y/candidate_models/regularized_256x8x5,11.42810847687485,0.0,0.0,7.09839232659477,2.674037976720151,0.0,10.62092006206512,10.579618718124651,25.162675375571858,0.0,0.0,9.340776053872505,3.9024433473344726,3.333333333333333,10.339199602603907,31.400028507508267,256.0,0.0048570455983281,0.0088685974478721,0.004011551849544,1.6217505464284248,0.0530462571669221,0.0,52.0,0.0047249142080545,0.0168945379555225,0.0121696237474679,2.396548028880767,0.0101272863567586,1.0,256.0,0.0074179107323288,0.004011551849544,0.0122841084375977,0.0088685974478721,0.177015334367752,52.0,0.0062606055289506,0.0121696237474679,0.0109949624165892,0.0168945379555225,0.1723199933767318
29,5y,wider_256x8x4,outputs/replay_checkpoint_suites/5y/candidate_models/wider_256x8x4,9.677779581315729,0.0,0.0,6.918106488518317,2.511264869171141,0.0,10.491780638694761,8.615370300310426,4.540794285346721,0.0,0.0,7.322594282784634,0.5691304495531877,0.0,10.262421369552612,2.1700976481319305,256.0,0.0051688188686966,0.0085142012685537,0.0033453821670264,1.5210779948538224,0.0647396348305632,0.0,52.0,0.0078104985877871,0.0093358168378472,0.0015253183664754,0.3416422751865635,0.3670119307569205,0.0,256.0,0.0064542545005679,0.0033453821670264,0.0116354245692491,0.0085142012685537,0.1748630106449127,52.0,0.0074925767257809,0.0015253183664754,0.0153131633996963,0.0093358168378472,0.1710403561592102
16,3mo,regularized_256x8x5,outputs/replay_checkpoint_suites/3mo/candidate_models/regularized_256x8x5,10.487301246139335,0.0,0.0,4.977799347025551,2.681519375123416,0.0,9.997668564319607,8.148951403968695,15.815997157747793,0.0,0.0,3.3583256930569476,1.9031505221509033,0.0,10.565728247165676,10.511745125789968,256.0,0.0018138897139579,0.0054635042324662,0.0036496145185083,1.6263871489207231,0.0525512122331529,0.0,52.0,-0.0023687137290835,0.0034938787575811,0.0058625927194952,1.1480774515875911,0.1281466860770108,0.0,256.0,0.0052493517287075,0.0036496145185083,0.007073818705976,0.0054635042324662,0.1666278094053268,52.0,0.004568594507873,0.0058625927194952,0.0022121747024357,0.0034938787575811,0.1760954707860946
15,3mo,deeper_224x8x5,outputs/replay_checkpoint_suites/3mo/candidate_models/deeper_224x8x5,10.258494700832152,0.0,0.0,4.912357376599807,2.4934884159180384,0.0,10.212099552154536,7.452240941195461,16.420438993004623,0.0,0.0,3.6072200483645784,2.0397569681854324,0.0,10.537457764148712,11.529958245405922,256.0,0.0018138897139579,0.0053768781945109,0.0035629887133836,1.510106785956261,0.0661271438883991,0.0,52.0,-0.0023687137290835,0.0037771565839648,0.0061458703130483,1.231482670496535,0.1118954367800288,0.0,256.0,0.0052493517287075,0.0035629887133836,0.007073818705976,0.0053768781945109,0.1702016592025756,52.0,0.004568594507873,0.0061458703130483,0.0022121747024357,0.0037771565839648,0.1756242960691452
8,1y,base_user_shape,outputs/replay_checkpoint_suites/1y/candidate_models/base_user_shape,9.226911164892805,0.0,0.0,6.660205529596873,2.136662649913253,0.0,10.616324543952942,7.407454800449987,23.50688785701157,0.0,0.0,9.099142205122318,3.387002549351772,3.333333333333333,10.249612033367153,29.076753911451842,256.0,0.0048570455983281,0.0080355685204267,0.0031785233877599,1.2907754273647956,0.0989752985168671,0.0,52.0,0.0047249142080545,0.0152702564373612,0.0105453422293066,2.067835909875607,0.0218730441808938,1.0,256.0,0.0074179107323288,0.0031785233877599,0.0122841084375977,0.0080355685204267,0.1769387423992157,52.0,0.0062606055289506,0.0105453422293066,0.0109949624165892,0.0152702564373612,0.1708268672227859
4,1mo,regularized_256x8x5,outputs/replay_checkpoint_suites/1mo/candidate_models/regularized_256x8x5,2.2279320045077684,0.0,0.0,3.458909733686016,1.5245858356373991,0.0,4.31804001331329,2.893387560517894,-14.40698742557262,0.0,0.0,-3.6850523482754616,-1.9304792607335843,0.0,10.665970444679255,-30.688489479260923,256.0,0.0028636734932661,0.0036076873075217,0.0007440138142555,0.9179211170016912,0.1797637702754278,0.0,52.0,0.0013659459073096,-0.0038669235073029,-0.0052328696474432,-1.1647469066192364,0.8752295853932885,0.0,256.0,0.0065550510771572,0.0007440138142555,0.0094286780804395,0.0036076873075217,0.0719673335552215,52.0,0.0073214145377278,-0.0052328696474432,0.0087026851251721,-0.0038669235073029,0.1777661740779876
7,1y,balanced_192x6x4,outputs/replay_checkpoint_suites/1y/candidate_models/balanced_192x6x4,3.0055676532072786,0.0,0.0,5.271768391138205,1.1003546385115555,0.0,6.628236472606655,2.7494542102503843,-0.8489056826190141,0.0,0.0,4.1710901125173026,-0.09738127650724493,0.0,10.46168714761734,-7.236883994226297,256.0,0.0048570455983281,0.0058622732758522,0.0010052281431853,0.661400877309195,0.2544762152402257,0.0,52.0,0.0047249142080545,0.0044418699108064,-0.0002830441226251,-0.0584295867941287,0.5231826044974148,0.0,256.0,0.0074179107323288,0.0010052281431853,0.0122841084375977,0.0058622732758522,0.1104706078767776,52.0,0.0062606055289506,-0.0002830441226251,0.0109949624165892,0.0044418699108064,0.174361452460289
2,1mo,base_user_shape,outputs/replay_checkpoint_suites/1mo/candidate_models/base_user_shape,0.17798762544210256,0.0,0.0,2.8425066835491233,0.48215455176734234,0.0,3.032355979084968,0.47029288167360006,1.28221177074625,0.0,0.0,1.7746210078181264,3.0194352204099926,3.333333333333333,2.869986221194266,6.539615111113436,256.0,0.0028636734932661,0.0029230033978819,5.932990461587906e-05,0.2893924265791295,0.3862581190647502,0.0,52.0,0.0013659459073096,0.0017936103977262,0.0004276644613128,1.8367432863970587,0.0360393708560199,1.0,256.0,0.0065550510771572,5.932990461587906e-05,0.0094286780804395,0.0029230033978819,0.0505392663180828,52.0,0.0073214145377278,0.0004276644613128,0.0087026851251721,0.0017936103977262,0.0478331036865711
22,3y,regularized_256x8x5,outputs/replay_checkpoint_suites/3y/candidate_models/regularized_256x8x5,3.313956778930733,0.0,0.0,4.017593281877609,0.8776760927175027,0.0,8.6888238787651,-0.47959772523925714,-1.7945807476321782,0.0,0.0,2.325744704146457,-0.11392008739326885,0.0,10.497899651527405,-10.080655782406396,256.0,0.0031482726335525,0.0042574512772262,0.0011091786436736,0.5272078596749212,0.2992538064011509,0.0,52.0,0.0029680030420422,0.0023690944071859,-0.0005989086348563,-0.0683533666419325,0.5271141829228385,0.0,256.0,0.0090843122452497,0.0011091786436736,0.0122450031340122,0.0042574512772262,0.1448137313127517,52.0,0.0109194619581103,-0.0005989086348563,0.0139007223770022,0.0023690944071859,0.1749649941921234
17,3mo,wider_256x8x4,outputs/replay_checkpoint_suites/3mo/candidate_models/wider_256x8x4,2.954957862144126,0.0,0.0,2.7309755767787918,0.9634994262752792,0.0,9.499713778495789,-2.850280913297592,14.197049633129811,0.0,0.0,2.704593122371723,2.0749712664661284,0.0,9.523757994174954,9.45285602779271,256.0,0.0018138897139579,0.0028020797763019,0.000988190062344,0.5788966933815932,0.2815849318918787,0.0,52.0,-0.0023687137290835,0.0027735931798815,0.0051423069089651,1.2530163563198522,0.1079571883716589,0.0,256.0,0.0052493517287075,0.000988190062344,0.007073818705976,0.0028020797763019,0.1583285629749298,52.0,0.004568594507873,0.0051423069089651,0.0022121747024357,0.0027735931798815,0.1587292999029159
11,1y,wider_256x8x4,outputs/replay_checkpoint_suites/1y/candidate_models/wider_256x8x4,-2.412856172764882,0.0,0.0,3.843058599013178,-0.879374204718633,0.0,8.20954978466034,-7.658721563130676,1.6800301890381448,0.0,0.0,4.842727494203739,0.2155705847944773,0.0,10.839499533176419,-4.101171265140057,256.0,0.0048570455983281,0.0040510189719498,-0.0008060263935476,-0.5282302338766612,0.7011005313024381,0.0,52.0,0.0047249142080545,0.0052855107933282,0.0005605965852737,0.1293512566123476,0.4487942592000462,0.0,256.0,0.0074179107323288,-0.0008060263935476,0.0122841084375977,0.0040510189719498,0.136825829744339,52.0,0.0062606055289506,0.0005605965852737,0.0109949624165892,0.0052855107933282,0.1806583255529403
